It (2017),http://www.imdb.com/title/tt1396484/?ref_=fn_al_tt_1
Hostel,http://www.imdb.com/title/tt0450278/?ref_=nv_sr_1
Hour of the Wolf (68),http://www.imdb.com/title/tt0063759/?ref_=nv_sr_1
It Follows,http://www.imdb.com/title/tt3235888/?ref_=nv_sr_1
American Werewolf in London,http://www.imdb.com/title/tt0082010/?ref_=nv_sr_1
Amour (2012),http://www.imdb.com/title/tt1602620/?ref_=nv_sr_1
The Witch (2016),http://www.imdb.com/title/tt4263482/?ref_=nv_sr_1
Phantasm (79),http://www.imdb.com/title/tt0079714/?ref_=nv_sr_1
The Strangers (2008),http://www.imdb.com/title/tt0482606/?ref_=nv_sr_2
Kairo (2001),http://www.imdb.com/title/tt0286751/?ref_=nv_sr_1
Christine,http://www.imdb.com/title/tt0085333/?ref_=nv_sr_5
Babadook,http://www.imdb.com/title/tt2321549/?ref_=nv_sr_1
Cube (97),http://www.imdb.com/title/tt0123755/?ref_=nv_sr_1
Dead Ringers (88),http://www.imdb.com/title/tt0094964/?ref_=nv_sr_1
The Invitation (2015),http://www.imdb.com/title/tt2400463/?ref_=nv_sr_1
The Ring,http://www.imdb.com/title/tt0298130/?ref_=nv_sr_2
Green Room,http://www.imdb.com/title/tt4062536/?ref_=nv_sr_1
The Invisible Man (33),http://www.imdb.com/title/tt0024184/?ref_=nv_sr_1
Frailty (2001),http://www.imdb.com/title/tt0264616/?ref_=nv_sr_1
Session-9 (2001),http://www.imdb.com/title/tt0261983/?ref_=nv_sr_1
Hausu (77),http://www.imdb.com/title/tt0076162/?ref_=nv_sr_1
Poltergeist (82),http://www.imdb.com/title/tt0084516/?ref_=nv_sr_1
The Birds (63),http://www.imdb.com/title/tt0056869/?ref_=nv_sr_1
House of Wax (53),http://www.imdb.com/title/tt0045888/?ref_=nv_sr_2
Friday the 13th,http://www.imdb.com/title/tt0080761/?ref_=nv_sr_1
Candyman,http://www.imdb.com/title/tt0103919/?ref_=nv_sr_1
Sixth Sense,http://www.imdb.com/title/tt0167404/?ref_=nv_sr_1
Invasion of the Body Snatchers (58),http://www.imdb.com/title/tt0049366/?ref_=nv_sr_2
Cujo,http://www.imdb.com/title/tt0085382/?ref_=nv_sr_1
Creature from the Black Lagoon,http://www.imdb.com/title/tt0046876/?ref_=nv_sr_1
House of the Devil (2009),http://www.imdb.com/title/tt1172994/?ref_=nv_sr_1
Martyrs (2008),http://www.imdb.com/title/tt1029234/?ref_=nv_sr_2
The Omen (76),http://www.imdb.com/title/tt0075005/?ref_=nv_sr_1
The Changeling (80),http://www.imdb.com/title/tt0080516/?ref_=nv_sr_1
Drag me to Hell (2009),http://www.imdb.com/title/tt1127180/?ref_=nv_sr_1
Se7en,http://www.imdb.com/title/tt0114369/?ref_=nv_sr_1
The Night of the Hunter (55),http://www.imdb.com/title/tt0048424/?ref_=nv_sr_1
The Devil's Backbone (2001),http://www.imdb.com/title/tt0256009/?ref_=nv_sr_1
Tetsuo: The Iron Man (89),http://www.imdb.com/title/tt0096251/?ref_=nv_sr_1
Dawn of the Dead (78),http://www.imdb.com/title/tt0077402/?ref_=nv_sr_2
Mulholland Drive,http://www.imdb.com/title/tt0166924/?ref_=nv_sr_1
Pet Sematary (89),http://www.imdb.com/title/tt0098084/?ref_=nv_sr_1
Peeping Tom (60),http://www.imdb.com/title/tt0054167/?ref_=nv_sr_1
The Innocents (61),http://www.imdb.com/title/tt0055018/?ref_=nv_sr_1
Repulsion (65),http://www.imdb.com/title/tt0059646/?ref_=nv_sr_1
28 Days Later,http://www.imdb.com/title/tt0289043/?ref_=nv_sr_1
120 Days of Sodom (75),http://www.imdb.com/title/tt0073650/?ref_=nv_sr_1
The Beyond (81),http://www.imdb.com/title/tt0082307/?ref_=nv_sr_1
Dracula (31),http://www.imdb.com/title/tt0021814/?ref_=nv_sr_6
Scream,http://www.imdb.com/title/tt0117571/?ref_=nv_sr_1
Hellraiser,http://www.imdb.com/title/tt0093177/?ref_=nv_sr_1
What ever happened to Baby Jane (62),http://www.imdb.com/title/tt0056687/?ref_=nv_sr_1
Antichrist (2009),http://www.imdb.com/title/tt0870984/?ref_=nv_sr_1
The Mist (2007),http://www.imdb.com/title/tt0884328/?ref_=nv_sr_2
